channel_id,direction,direction2,entry_points,entry_type,message_age_hours,message_id,raw_message,stop_loss,symbol,timestamp,tp1,tp2,tp3,tp4
-1001552516320,BUY,BUY,"[0.836, 0.83]",limit,1.7864054322222223,9865,"USDCHF BUY limit from 0.836 and BUY limit from 0.830
Tp1 @ 0.841 1
Tp2 @ 0.847 2
Tp3 @ 0.853 3
Tp4 @ 0.859 4
Sl    @ 0.824 ",0.824,USDCHF,2025-05-18T20:41:18+00:00,0.841,0.847,0.853,0.859
-1001552516320,BUY,BUY,"[143.9, 143.3]",limit,1.7864054322222223,9864,"USDJPY BUY limit from 143.9 and BUY limit from 143.3
Tp1 @ 144.4 1
Tp2 @ 145.0 2
Tp3 @ 145.6 3
Tp4 @ 146.2 4
Sl    @ 142.7 ",142.7,USDJPY,2025-05-18T20:41:18+00:00,144.4,145.0,145.6,146.2
-1001552516320,SELL,SELL,"[147.3, 147.9]",limit,1.7864054322222223,9863,"USDJPY SELL limit from 147.3 and SELL limit from 147.9
Tp1 @ 146.8 1
Tp2 @ 146.2 2
Tp3 @ 145.6 3
Tp4 @ 145.0 0
Sl    @ 148.5 ",148.5,USDJPY,2025-05-18T20:41:18+00:00,146.8,146.2,145.6,145.0
-1001552516320,BUY,BUY,"[0.573, 0.567]",limit,1.78668321,9862,"NZDUSD BUY limit from 0.573 and BUY limit from 0.567
Tp1 @ 0.578 1
Tp2 @ 0.584 2
Tp3 @ 0.590 3
Tp4 @ 0.596 4
Sl    @ 0.561 ",0.561,NZDUSD,2025-05-18T20:41:17+00:00,0.578,0.584,0.59,0.596
-1001552516320,BUY,BUY,"[83.7, 83.1]",limit,1.78668321,9861,"NZDJPY BUY limit from 83.7 and BUY limit from 83.1
Tp1 @ 84.2 1
Tp2 @ 84.8 2
Tp3 @ 85.4 3
Tp4 @ 86.0 4
Sl    @ 82.5 ",82.5,NZDJPY,2025-05-18T20:41:17+00:00,84.2,84.8,85.4,86.0
-1001552516320,SELL,SELL,"[0.501, 0.507]",limit,1.78668321,9860,"NZDCHF SELL limit from 0.501 and SELL limit from 0.507
Tp1 @ 0.496 1
Tp2 @ 0.490 2
Tp3 @ 0.484 3
Tp4 @ 0.478 0
Sl    @ 0.513 ",0.513,NZDCHF,2025-05-18T20:41:17+00:00,0.496,0.49,0.484,0.478
-1001552516320,BUY,BUY,"[0.481, 0.475]",limit,1.78668321,9859,"NZDCHF BUY limit from 0.481 and BUY limit from 0.475
Tp1 @ 0.486 1
Tp2 @ 0.492 2
Tp3 @ 0.498 3
Tp4 @ 0.504 4
Sl    @ 0.469 ",0.469,NZDCHF,2025-05-18T20:41:17+00:00,0.486,0.492,0.498,0.504
-1001552516320,BUY,BUY,"[0.808, 0.802]",limit,1.78668321,9858,"NZDCAD BUY limit from 0.808 and BUY limit from 0.802
Tp1 @ 0.813 1
Tp2 @ 0.819 2
Tp3 @ 0.825 3
Tp4 @ 0.831 4
Sl    @ 0.796 ",0.796,NZDCAD,2025-05-18T20:41:17+00:00,0.813,0.819,0.825,0.831
-1001552516320,SELL,SELL,"[0.834, 0.84]",limit,1.78668321,9857,"NZDCAD SELL limit from 0.834 and SELL limit from 0.840
Tp1 @ 0.829 1
Tp2 @ 0.823 2
Tp3 @ 0.817 3
Tp4 @ 0.811 0
Sl    @ 0.846 ",0.846,NZDCAD,2025-05-18T20:41:17+00:00,0.829,0.823,0.817,0.811
-1001552516320,BUY,,['market'],market,1.78668321,9856,"GBPUSD BUY Now and BUY limit from 1.322
Tp1 @ 1.333 1
Tp2 @ 1.339 2
Tp3 @ 1.345 3
Tp4 @ 1.351 4
Sl    @ 1.316 ",1.316,GBPUSD,2025-05-18T20:41:17+00:00,1.333,1.339,1.345,1.351
-1001552516320,BUY,BUY,"[2.249, 2.243]",limit,1.78668321,9855,"GBPNZD BUY limit from 2.249 and BUY limit from 2.243
Tp1 @ 2.254 1
Tp2 @ 2.260 2
Tp3 @ 2.266 3
Tp4 @ 2.272 4
Sl    @ 2.237 ",2.237,GBPNZD,2025-05-18T20:41:17+00:00,2.254,2.26,2.266,2.272
-1001552516320,BUY,BUY,"[193.0, 192.4]",limit,1.78668321,9854,"GBPJPY BUY limit from 193.0 and BUY limit from 192.4
Tp1 @ 193.5 1
Tp2 @ 194.1 2
Tp3 @ 194.7 3
Tp4 @ 195.3 4
Sl    @ 191.8 ",191.8,GBPJPY,2025-05-18T20:41:17+00:00,193.5,194.1,194.7,195.3
-1001552516320,BUY,BUY,"[1.842, 1.836]",limit,1.78668321,9853,"GBPCAD BUY limit from 1.842 and BUY limit from 1.836
Tp1 @ 1.847 1
Tp2 @ 1.853 2
Tp3 @ 1.859 3
Tp4 @ 1.865 4
Sl    @ 1.830 ",1.83,GBPCAD,2025-05-18T20:41:17+00:00,1.847,1.853,1.859,1.865
-1001552516320,BUY,BUY,"[2.063, 2.057]",limit,1.78668321,9852,"GBPAUD BUY limit from 2.063 and BUY limit from 2.057
Tp1 @ 2.068 1
Tp2 @ 2.074 2
Tp3 @ 2.080 3
Tp4 @ 2.086 4
Sl    @ 2.051 ",2.051,GBPAUD,2025-05-18T20:41:17+00:00,2.068,2.074,2.08,2.086
-1001552516320,BUY,BUY,"[0.836, 0.83]",limit,1.78668321,9851,"EURGBP BUY limit from 0.836 and BUY limit from 0.830
Tp1 @ 0.841 1
Tp2 @ 0.847 2
Tp3 @ 0.853 3
Tp4 @ 0.859 4
Sl    @ 0.824 ",0.824,EURGBP,2025-05-18T20:41:17+00:00,0.841,0.847,0.853,0.859
-1001552516320,SELL,SELL,"[163.1, 163.7]",limit,1.78668321,9850,"EURJPY SELL limit from 163.1 and SELL limit from 163.7
Tp1 @ 162.6 1
Tp2 @ 162.0 2
Tp3 @ 161.4 3
Tp4 @ 160.8 0
Sl    @ 164.3 ",164.3,EURJPY,2025-05-18T20:41:17+00:00,162.6,162.0,161.4,160.8
-1001552516320,BUY,BUY,"[0.926, 0.92]",limit,1.786960987777778,9849,"EURCHF BUY limit from 0.926 and BUY limit from 0.920
Tp1 @ 0.931 1
Tp2 @ 0.937 2
Tp3 @ 0.943 3
Tp4 @ 0.949 4
Sl    @ 0.914 ",0.914,EURCHF,2025-05-18T20:41:16+00:00,0.931,0.937,0.943,0.949
-1001552516320,SELL,SELL,"[1.754, 1.76]",limit,1.786960987777778,9848,"EURAUD SELL limit from 1.754 and SELL limit from 1.760
Tp1 @ 1.749 1
Tp2 @ 1.743 2
Tp3 @ 1.737 3
Tp4 @ 1.731 0
Sl    @ 1.766 ",1.766,EURAUD,2025-05-18T20:41:16+00:00,1.749,1.743,1.737,1.731
-1001552516320,BUY,BUY,"[171.6, 171.0]",limit,1.786960987777778,9847,"CHFJPY BUY limit from 171.6 and BUY limit from 171.0
Tp1 @ 172.1 1
Tp2 @ 172.7 2
Tp3 @ 173.3 3
Tp4 @ 173.9 4
Sl    @ 170.4 ",170.4,CHFJPY,2025-05-18T20:41:16+00:00,172.1,172.7,173.3,173.9
-1001552516320,SELL,SELL,"[175.4, 176.0]",limit,1.786960987777778,9846,"CHFJPY SELL limit from 175.4 and SELL limit from 176.0
Tp1 @ 174.9 1
Tp2 @ 174.3 2
Tp3 @ 173.7 3
Tp4 @ 173.1 0
Sl    @ 176.6 ",176.6,CHFJPY,2025-05-18T20:41:16+00:00,174.9,174.3,173.7,173.1
